Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
23-11-2018,Fin-Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,27.2,Ziffyhomes
24-11-2018,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore",Series A,236,My Omnamo
25-11-2018,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,336,Shopx
25-11-2018,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,13.6,Makemytrip
02-10-2018,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Funding Round,88,Metro Bikes
04-10-2018,Food & Beverages,Wine,Mumbai,Ravi Viswanathan,Private Equity,65.6,Phone Pe
05-10-2018,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24,Quizizz
11-10-2018,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,32,Happy Emi
12-10-2018,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,96,Observe Ai
01-09-2018,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,280,Enakshi
03-09-2018,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,51.12,Finzy
04-09-2018,Health Care,Healthcare Service Provider,Delhi,Undefined,Seed Funding Round,8,Rawpressery
05-09-2018,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,1257.6,Revv
06-09-2018,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,800,Shubh Loans
11-09-2018,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,256,Narvar
11-09-2018,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,44,True North
11-09-2018,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,40,Biryani By Kilo
12-09-2018,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,240,Anchanto
01-08-2018,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed Funding Round,3.2,Loan Tap
02-08-2018,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,56,Zippserv
03-08-2018,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,0.96,Groww
07-08-2018,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undefined,Seed Funding Round,8,Avenue Growth
07-08-2018,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,280,Kinara Capital
07-08-2018,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,80,Shop 101
08-08-2018,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed Funding Round,32,Sambandh
08-08-2018,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,97.6,19Th Mile
08-08-2018,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,528,5Th Vital
09-08-2018,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed Funding Round,24,Mengage
09-08-2018,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed Funding Round,8,Ofbusiness
13-08-2018,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed Funding Round,32,The Ken
13-08-2018,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,64,Book My Show
16-08-2018,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Undefined,Seed Funding Round,0.92,Housingman
17-08-2018,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,46.8,Paysense
20-08-2018,Finance,Online Loan Matchmaking Platform,Bengaluru,Undefined,Seed Funding Round,8,Vtion
20-08-2018,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,38.4,Log9 Materials
22-08-2018,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,48,Kidovators
22-08-2018,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,114.16,Digit
26-08-2018,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,107.2,Black Soil
26-08-2018,Fin-Tech,xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,33.6,Iqlect
27-08-2018,Health Care,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,40,Entropik
28-08-2018,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,24,Thecapitalnet
30-08-2018,Finance,Private Equity Firm,Mumbai,Undefined,Private Equity,4800,Cure Fit
02-07-2018,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed Funding Round,8,Healthsignz
04-07-2018,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,32,Cointribe
05-07-2018,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,50,Digiconectt
06-07-2018,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,221.6,Annapurna Finance
09-07-2018,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed Funding Round,3.52,Ayefinance
09-07-2018,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed Funding Round,8.8,Alpha Capital
10-07-2018,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed Funding Round,3.5,Eshakti
10-07-2018,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,40,Nirogstreet
10-07-2018,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,40,Nivesh
11-07-2018,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,20,Homelane
12-07-2018,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed Funding Round,1.44,Network Intelligence
12-07-2018,Health Care,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed Funding Round,4,Tynor Othontics
13-07-2018,Health Care,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others",Seed Funding Round,1.4,Elucidata
17-07-2018,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,232,Rentsher
18-07-2018,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed Funding Round,12,Wickedride
19-07-2018,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,800,Hipbar
20-07-2018,Consumer Internet,Property Discovery Platform,Bengaluru,Undefined,Seed Funding Round,12,Sqqrl
21-07-2018,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,144,Sigtuple
23-07-2018,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar",Seed Funding Round,2.24,Front Desk Ai
23-07-2018,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed Funding Round,3.49,Edureka
24-07-2018,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed Funding Round,1.44,Opentap
24-07-2018,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,360,Bizongo
25-07-2018,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,136,Disprz
25-07-2018,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed Funding Round,20,I3Sysytems
26-07-2018,IT,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed Funding Round,8.8,Earth Food
